iter	Passed	Remaining
0	134	134156
1	136	68122
2	138	46046
3	141	35237
4	144	28840
5	147	24479
6	150	21280
7	152	18887
8	156	17210
9	159	15813
10	164	14777
11	167	13801
12	172	13064
13	174	12275
14	176	11578
15	178	10967
16	180	10441
17	184	10091
18	187	9671
19	189	9287
20	191	8935
21	194	8657
22	198	8424
23	200	8144
24	201	7872
25	203	7620
26	205	7391
27	206	7166
28	207	6958
29	209	6762
30	210	6578
31	213	6445
32	214	6280
33	215	6121
34	216	5972
35	217	5832
36	218	5698
37	220	5573
38	221	5458
39	222	5347
40	223	5238
41	225	5133
42	227	5053
43	228	4957
44	229	4863
45	230	4771
46	231	4685
47	232	4602
48	232	4522
49	234	4453
50	235	4384
51	236	4312
52	237	4242
53	238	4176
54	240	4134
55	241	4073
56	242	4012
57	243	3953
58	244	3895
59	245	3838
60	245	3783
61	246	3736
62	249	3705
63	251	3674
64	252	3632
65	254	3608
66	256	3570
67	257	3528
68	258	3485
69	258	3440
70	259	3398
71	260	3358
72	261	3317
73	261	3277
74	262	3239
75	263	3201
76	264	3164
77	264	3129
78	265	3094
79	266	3060
80	266	3027
81	267	2994
82	267	2959
83	268	2932
84	269	2903
85	270	2873
86	271	2844
87	271	2816
88	272	2788
89	273	2765
90	274	2744
91	275	2721
92	276	2698
93	277	2674
94	279	2657
95	279	2635
96	280	2611
97	281	2588
98	282	2573
99	283	2553
100	284	2532
101	285	2511
102	285	2490
103	286	2471
104	287	2451
105	290	2448
106	291	2430
107	292	2413
108	293	2395
109	293	2377
110	294	2359
111	295	2341
112	295	2323
113	296	2305
114	298	2296
115	300	2287
116	300	2270
117	302	2257
118	303	2247
119	304	2231
120	305	2215
121	305	2199
122	306	2183
123	306	2168
124	307	2153
125	308	2139
126	308	2123
127	309	2109
128	311	2103
129	312	2091
130	313	2077
131	313	2063
132	314	2050
133	315	2038
134	317	2035
135	318	2023
136	319	2011
137	320	2000
138	321	1989
139	322	1978
140	322	1966
141	323	1953
142	323	1941
143	324	1930
144	328	1936
145	329	1929
146	330	1918
147	331	1908
148	332	1898
149	334	1894
150	335	1886
151	336	1879
152	337	1870
153	338	1860
154	339	1851
155	342	1855
156	344	1849
157	347	1850
158	349	1846
159	350	1840
160	351	1832
161	352	1824
162	353	1815
163	354	1806
164	356	1805
165	357	1796
166	358	1787
167	359	1778
168	359	1769
169	360	1761
170	361	1752
171	363	1748
172	364	1740
173	364	1732
174	365	1723
175	366	1714
176	366	1705
177	368	1699
178	370	1701
179	372	1698
180	374	1693
181	376	1690
182	377	1685
183	378	1678
184	379	1670
185	380	1663
186	381	1656
187	381	1648
188	382	1641
189	383	1633
190	383	1625
191	384	1618
192	385	1613
193	387	1608
194	387	1601
195	388	1594
196	389	1587
197	390	1580
198	391	1576
199	392	1570
200	393	1563
201	394	1556
202	394	1549
203	395	1542
204	396	1536
205	397	1530
206	397	1523
207	398	1516
208	400	1517
209	401	1512
210	402	1505
211	403	1499
212	404	1493
213	405	1488
214	406	1483
215	407	1478
216	408	1473
217	409	1467
218	410	1462
219	410	1457
220	411	1451
221	412	1445
222	413	1439
223	415	1438
224	416	1433
225	416	1427
226	417	1421
227	418	1416
228	418	1410
229	420	1408
230	421	1404
231	422	1399
232	423	1394
233	424	1388
234	424	1383
235	425	1377
236	426	1372
237	427	1367
238	427	1362
239	429	1361
240	430	1356
241	431	1351
242	432	1346
243	433	1341
244	433	1336
245	435	1333
246	436	1330
247	437	1327
248	438	1323
249	439	1319
250	440	1314
251	441	1309
252	441	1304
253	442	1299
254	444	1298
255	445	1294
256	446	1289
257	446	1285
258	447	1280
259	448	1276
260	449	1272
261	450	1268
262	451	1264
263	452	1260
264	452	1256
265	453	1251
266	454	1247
267	454	1242
268	455	1238
269	456	1233
270	456	1229
271	457	1224
272	459	1224
273	460	1220
274	461	1216
275	461	1211
276	462	1207
277	463	1203
278	464	1200
279	465	1197
280	466	1193
281	467	1189
282	468	1185
283	468	1182
284	469	1178
285	470	1174
286	471	1170
287	471	1166
288	472	1162
289	474	1162
290	475	1158
291	476	1154
292	477	1151
293	477	1147
294	478	1143
295	479	1139
296	480	1136
297	480	1133
298	481	1129
299	482	1125
300	483	1121
301	483	1118
302	484	1114
303	485	1111
304	486	1107
305	486	1103
306	487	1100
307	489	1099
308	490	1095
309	491	1093
310	492	1090
311	493	1088
312	494	1084
313	495	1081
314	495	1078
315	496	1074
316	497	1071
317	497	1067
318	498	1064
319	499	1061
320	499	1057
321	500	1054
322	501	1050
323	502	1049
324	503	1046
325	504	1043
326	505	1040
327	506	1037
328	506	1033
329	507	1030
330	508	1027
331	509	1024
332	509	1021
333	510	1018
334	511	1014
335	511	1011
336	512	1008
337	513	1005
338	514	1002
339	514	999
340	515	996
341	516	993
342	518	992
343	518	989
344	519	986
345	520	983
346	520	980
347	521	977
348	522	974
349	523	971
350	523	968
351	525	967
352	526	964
353	527	962
354	528	960
355	529	958
356	530	955
357	531	952
358	532	951
359	533	948
360	534	945
361	535	943
362	535	940
363	536	937
364	537	934
365	538	932
366	538	929
367	539	926
368	540	924
369	541	921
370	541	918
371	542	915
372	543	912
373	543	910
374	544	907
375	545	904
376	546	902
377	547	901
378	548	898
379	549	896
380	549	893
381	550	890
382	551	888
383	552	885
384	553	884
385	554	881
386	555	879
387	555	876
388	556	874
389	557	872
390	558	869
391	559	867
392	559	864
393	560	862
394	562	861
395	563	859
396	563	856
397	564	854
398	565	851
399	566	849
400	566	846
401	567	843
402	568	842
403	569	839
404	570	837
405	570	834
406	571	832
407	571	829
408	572	827
409	573	825
410	574	822
411	574	820
412	575	817
413	577	816
414	577	814
415	578	812
416	579	810
417	580	807
418	580	805
419	581	802
420	582	800
421	582	798
422	583	795
423	584	793
424	584	791
425	585	789
426	586	786
427	587	784
428	587	782
429	588	780
430	589	777
431	589	775
